timestamp,region,hour,day_of_week,month,population_served,temperature_C,humidity,solar_input_kW,holiday_flag,load_kWh
2024-01-01 00:00:00,Mogadishu,0,0,1,181932,31.9,48.8,0.0,0,5.0
2024-01-01 01:00:00,Mogadishu,1,0,1,181932,35.9,54.1,0.0,0,5.0
2024-01-01 02:00:00,Mogadishu,2,0,1,181932,28.3,50.9,0.0,0,5.14
2024-01-01 03:00:00,Mogadishu,3,0,1,181932,30.9,57.3,0.0,0,5.64
2024-01-01 04:00:00,Mogadishu,4,0,1,181932,34.2,70.4,0.0,0,5.0
2024-01-01 05:00:00,Mogadishu,5,0,1,181932,32.0,52.5,0.0,0,5.36
2024-01-01 06:00:00,Mogadishu,6,0,1,181932,26.8,69.9,2.98,0,5.39
2024-01-01 07:00:00,Mogadishu,7,0,1,181932,31.5,63.3,2.71,0,5.0
2024-01-01 08:00:00,Mogadishu,8,0,1,181932,30.7,61.6,2.86,0,5.0
2024-01-01 09:00:00,Mogadishu,9,0,1,181932,28.6,47.2,3.95,0,6.29
2024-01-01 10:00:00,Mogadishu,10,0,1,181932,29.6,58.8,1.81,0,5.0
2024-01-01 11:00:00,Mogadishu,11,0,1,181932,29.4,70.2,3.32,0,5.0
2024-01-01 12:00:00,Mogadishu,12,0,1,181932,25.1,44.6,3.17,0,5.36
2024-01-01 13:00:00,Mogadishu,13,0,1,181932,32.4,36.6,3.56,0,5.0
2024-01-01 14:00:00,Mogadishu,14,0,1,181932,31.7,61.6,5.34,0,5.52
2024-01-01 15:00:00,Mogadishu,15,0,1,181932,30.7,59.2,2.05,0,5.0
2024-01-01 16:00:00,Mogadishu,16,0,1,181932,25.8,41.3,3.64,0,5.0
2024-01-01 17:00:00,Mogadishu,17,0,1,181932,31.7,68.0,3.21,0,5.48
2024-01-01 18:00:00,Mogadishu,18,0,1,181932,28.3,53.9,4.47,0,5.0
2024-01-01 19:00:00,Mogadishu,19,0,1,181932,32.9,72.3,0.0,0,6.82
2024-01-01 20:00:00,Mogadishu,20,0,1,181932,26.3,58.3,0.0,0,6.45
2024-01-01 21:00:00,Mogadishu,21,0,1,181932,31.7,62.4,0.0,0,5.0
2024-01-01 22:00:00,Mogadishu,22,0,1,181932,28.4,53.5,0.0,0,5.0
2024-01-01 23:00:00,Mogadishu,23,0,1,181932,30.9,53.9,0.0,0,7.93
2024-01-02 00:00:00,Mogadishu,0,1,1,181932,27.9,47.2,0.0,0,5.97
2024-01-02 01:00:00,Mogadishu,1,1,1,181932,32.7,77.9,0.0,0,6.98
2024-01-02 02:00:00,Mogadishu,2,1,1,181932,32.6,57.9,0.0,0,6.32
2024-01-02 03:00:00,Mogadishu,3,1,1,181932,29.0,51.8,0.0,0,5.0
2024-01-02 04:00:00,Mogadishu,4,1,1,181932,29.9,64.6,0.0,0,5.36
2024-01-02 05:00:00,Mogadishu,5,1,1,181932,28.6,51.4,0.0,0,6.23
2024-01-02 06:00:00,Mogadishu,6,1,1,181932,29.9,63.5,1.69,0,5.0
2024-01-02 07:00:00,Mogadishu,7,1,1,181932,29.2,41.9,5.94,0,5.0
2024-01-02 08:00:00,Mogadishu,8,1,1,181932,32.8,48.3,2.49,0,5.32
2024-01-02 09:00:00,Mogadishu,9,1,1,181932,26.9,48.4,2.85,0,5.0
2024-01-02 10:00:00,Mogadishu,10,1,1,181932,28.4,65.9,4.0,0,5.0
2024-01-02 11:00:00,Mogadishu,11,1,1,181932,30.3,67.4,1.57,0,5.56
2024-01-02 12:00:00,Mogadishu,12,1,1,181932,35.4,74.7,1.06,0,5.0
2024-01-02 13:00:00,Mogadishu,13,1,1,181932,30.9,41.8,2.33,0,5.0
2024-01-02 14:00:00,Mogadishu,14,1,1,181932,34.0,54.5,3.22,0,5.36
2024-01-02 15:00:00,Mogadishu,15,1,1,181932,31.9,55.3,1.8,0,5.91
